Date Created,Number of Likes,Source of Tweet,Tweet,Year
2022-09-13 01:04:32+00:00,435,Twitter Web App,Snaps to Miriam @MaiselTV on breaking the glass ceiling. Which is also an efficient way to create a makeshift weapo… https://t.co/kunuaHk86z,2022
2022-09-13 01:03:37+00:00,838,Twitter Web App,To the residents of @OnlyMurdersHulu. You had me at murder. #Emmys https://t.co/nNEu4F3Bfp,2022
2022-09-13 00:31:48+00:00,194,Twitter Web App,@WEDN3SD4YS @squidgame I don't hate this look. #Emmys https://t.co/Jjwpvi52de,2022
2022-09-13 00:16:23+00:00,1286,Twitter Web App,"To the players of @squidgame. Kudos on your nominations. Next season I’m entering my brother, Pugsley. He’ll probab… https://t.co/p4B364Pwcg",2022
2022-09-12 23:33:40+00:00,267,Twitter Web App,@TedLasso @succession @squidgame @stranger_things @onlymurdershulu @MaiselTV @BetterCallSaul.,2022
2022-09-12 23:30:04+00:00,952,Twitter Web App,The faceless suits at @Netflix have asked me to “congratulate” tonight’s #Emmys nominees. I warned them.,2022
2022-09-12 23:00:31+00:00,87637,Twitter Media Studio,A word of advice for tonight’s #Emmys nominees: https://t.co/Ef2IL0rFlO,2022
2022-08-17 21:12:16+00:00,1282,Twitter Web App,"""Interesting"" is one way to put it. Others: deranged, twisted and full of dark turns - like when the carousel brake… https://t.co/zDdZct9puH",2022
2022-08-17 17:34:49+00:00,1394,Twitter Web App,"Release date? No idea. I swear on Pugley's grave, which I've freshly dug. https://t.co/1ROSE6mvcs",2022
2022-08-17 14:57:12+00:00,99301,Twitter Media Studio,"This teaser is full of my favorite things - mystery, mayhem and murder. https://t.co/Bho1j7Lj7I",2022
2022-08-16 21:46:54+00:00,78,Twitter Web App,@File22_gal Fair point. Respect.,2022
2022-08-16 17:05:23+00:00,7846,Twitter Web App,Shortly after this photo was taken I tested my antique limb stretcher on Pugsley. Little to no growth so far. https://t.co/MO2Kot4feE,2022
2022-06-16 20:59:58+00:00,59,Twitter Web App,"@SlimNSoft On behalf of Netflix and Netflix only, thanks.",2022
2022-06-16 18:54:26+00:00,3938,Twitter Web App,Help me understand. https://t.co/DGgZIk4dij,2022
2022-06-06 17:50:57+00:00,2809,Twitter Web App,It seems I am trending. While I have your attention - anyone have a guillotine I can borrow this weekend.,2022
2022-06-06 17:15:17+00:00,947,Twitter Web App,My lips are sealed. Thing did a surprisingly adequate job with the needle and thread. https://t.co/Kda08AH0gl,2022
2022-06-06 17:14:58+00:00,650,Twitter Web App,I’ve sent Thing to fetch the smelling salts. https://t.co/BzRSeZY9Pf,2022
2022-06-06 17:14:32+00:00,892,Twitter Web App,I love the smell of hostility in the morning. https://t.co/Jsbt3OUbew,2022
2022-06-06 16:14:02+00:00,1109,Twitter Web App,Your wait will be quite painful. I envy you. https://t.co/XFpAJdLLiM,2022
2022-06-06 16:02:48+00:00,30761,Twitter Media Studio,Family life is killing me. Time to lose the dead weight. https://t.co/NlkAH8YVSO,2022
2022-06-01 20:04:52+00:00,1033,Twitter Web App,"Your compliments make me nauseous, and not in a good way. https://t.co/NQQN4VVECm",2022
2022-06-01 18:35:16+00:00,995,Twitter Web App,You should try apathy sometime. It’s freeing. https://t.co/TMgUx0jrhE,2022
2022-06-01 17:28:41+00:00,855,Twitter Web App,"Whenever I need to relax, I simply spend a few hours at the county morgue. You should try it. https://t.co/qbJmwPCC1N",2022
2022-06-01 17:25:08+00:00,656,Twitter Web App,I see what you did there. https://t.co/kapipnlSgs,2022
2022-06-01 17:10:14+00:00,1001,Twitter Web App,I would feel gratitude but I’m dead inside. https://t.co/0wlzBo2wNu,2022
2022-06-01 16:55:00+00:00,6698,Twitter Media Studio,Enjoy this marketing ploy. https://t.co/RBgB7TrV6K,2022
2022-06-01 16:00:07+00:00,4399,Twitter Web App,I’ve started this account as an experiment in sadism. Thing tells me Twitter is the most effective place to feel pa… https://t.co/hwqyJiRyhF,2022
